"dates","AMEALCO_DE_BONFIL","PINAL_DE_AMOLES","ARROYO_SECO","CADEREYTA_DE_MONTES","COLON","CORREGIDORA","EZEQUIEL_MONTES","HUIMILPAN","JALPAN_DE_SERRA","LANDA_DE_MATAMOROS","EL_MARQUES","PEDRO_ESCOBEDO","PENAMILLER","QUERETARO","SAN_JOAQUIN","SAN_JUAN_DEL_RIO","TEQUISQUIAPAN","TOLIMAN"
"2020-05-26","0.142484545769954","0","0","0.275752718749461","0","0.0672057011940437","0","0.129371461690523","0","0","0.123329197694237","0.184560414005921","0","0.190516652584311","0","0.175890694486818","0.131906892201071","0.170579766510416"
"2020-05-27","0.142484545769954","0","0","0.275752718749461","0","0.0896076015920582","0","0.129371461690523","0","0","0.123329197694237","0.184560414005921","0","0.195052763360128","0","0.207870820757149","0.131906892201071","0.170579766510416"
"2020-05-28","0.142484545769954","0","0","0.275752718749461","0","0.0896076015920582","0","0.129371461690523","0","0","0.123329197694237","0.184560414005921","0","0.195052763360128","0","0.239850947027479","0.131906892201071","0.170579766510416"
"2020-05-29","0.142484545769954","0","0","0.275752718749461","0","0.0896076015920582","0","0.129371461690523","0","0","0.123329197694237","0.184560414005921","0","0.222269428015029","0","0.255841010162644","0.131906892201071","0.170579766510416"
"2020-05-30","0.142484545769954","0","0","0.275752718749461","0","0.0896076015920582","0","0.129371461690523","0","0","0.123329197694237","0.184560414005921","0","0.226805538790846","0","0.255841010162644","0.197860338301606","0.170579766510416"
"2020-05-31","0.0712422728849772","0","0","0.206814539062096","0","0.0896076015920582","0","0.129371461690523","0","0","0.123329197694237","0.184560414005921","0","0.240413871118297","0","0.27183107329781","0.263813784402142","0.170579766510416"
"2020-06-01","0.0712422728849772","0","0","0.206814539062096","0","0.0896076015920582","0","0.129371461690523","0","0","0.14388406397661","0.184560414005921","0","0.254022203445748","0","0.255841010162644","0.263813784402142","0.170579766510416"
"2020-06-02","0","0","0","0.206814539062096","0","0.0896076015920582","0","0.129371461690523","0","0","0.184993796541356","0.184560414005921","0","0.254022203445748","0","0.27183107329781","0.263813784402142","0.170579766510416"
"2020-06-03","0","0","0","0.206814539062096","0.0709450807035766","0.0896076015920582","0","0.129371461690523","0","0","0.205548662823729","0.184560414005921","0","0.258558314221565","0","0.287821136432975","0.263813784402142","0.170579766510416"
"2020-06-04","0.0712422728849772","0","0","0.206814539062096","0.141890161407153","0.0896076015920582","0","0.129371461690523","0","0","0.205548662823729","0.123040276003947","0","0.281238868100649","0","0.30381119956814","0.263813784402142","0.170579766510416"
"2020-06-05","0.0712422728849772","0","0","0.206814539062096","0.141890161407153","0.0896076015920582","0","0.129371461690523","0","0","0.205548662823729","0.0615201380019736","0","0.281238868100649","0","0.30381119956814","0.329767230502677","0.170579766510416"
"2020-06-06","0.0712422728849772","0","0","0.206814539062096","0.141890161407153","0.112009501990073","0.105489571828377","0.129371461690523","0","0","0.164438930258983","0.0615201380019736","0","0.285774978876466","0","0.287821136432975","0.329767230502677","0.170579766510416"
"2020-06-07","0.0712422728849772","0","0","0.0689381796873653","0.141890161407153","0.0896076015920582","0.105489571828377","0.129371461690523","0","0","0.164438930258983","0.0615201380019736","0","0.2948472004281","0","0.287821136432975","0.329767230502677","0.170579766510416"
"2020-06-08","0.0712422728849772","0","0","0.0689381796873653","0.141890161407153","0.0896076015920582","0.105489571828377","0.129371461690523","0","0","0.164438930258983","0.123040276003947","0","0.299383311203917","0","0.287821136432975","0.329767230502677","0.170579766510416"
"2020-06-09","0.0712422728849772","0","0","0.137876359374731","0.141890161407153","0.0672057011940437","0.105489571828377","0.258742923381045","0","0","0.164438930258983","0.123040276003947","0","0.303919421979734","0","0.319801262703306","0.329767230502677","0.170579766510416"
"2020-06-10","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.0672057011940437","0.105489571828377","0.258742923381045","0","0","0.164438930258983","0.123040276003947","0","0.299383311203917","0","0.30381119956814","0.329767230502677","0.170579766510416"
"2020-06-11","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.0896076015920582","0.105489571828377","0.129371461690523","0","0","0.184993796541356","0.123040276003947","0","0.290311089652283","0","0.30381119956814","0.263813784402142","0.170579766510416"
"2020-06-12","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.0896076015920582","0.105489571828377","0.129371461690523","0","0","0.205548662823729","0.123040276003947","0","0.299383311203917","0","0.30381119956814","0.395720676603213","0.170579766510416"
"2020-06-13","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.0672057011940437","0.105489571828377","0.258742923381045","0","0","0.184993796541356","0.123040276003947","0","0.317527754307185","0","0.30381119956814","0.395720676603213","0.170579766510416"
"2020-06-14","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.0672057011940437","0.105489571828377","0.258742923381045","0","0","0.205548662823729","0.0615201380019736","0","0.326599975858818","0","0.30381119956814","0.329767230502677","0.170579766510416"
"2020-06-15","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.0672057011940437","0.105489571828377","0.258742923381045","0","0","0.246658395388475","0.0615201380019736","0","0.340208308186269","0","0.255841010162644","0.329767230502677","0.170579766510416"
"2020-06-16","0.142484545769954","0","0","0.0689381796873653","0.21283524211073","0.0672057011940437","0.105489571828377","0.258742923381045","0","0","0.226103529106102","0.0615201380019736","0","0.349280529737903","0","0.27183107329781","0.329767230502677","0"
"2020-06-17","0.142484545769954","0","0","0.0689381796873653","0.21283524211073","0.0448038007960291","0.105489571828377","0.258742923381045","0","0","0.226103529106102","0.0615201380019736","0","0.35381664051372","0","0.239850947027479","0.395720676603213","0"
"2020-06-18","0.142484545769954","0","0","0.0689381796873653","0.283780322814306","0.0448038007960291","0.105489571828377","0.258742923381045","0","0","0.226103529106102","0.0615201380019736","0","0.381033305168622","0","0.207870820757149","0.395720676603213","0"
"2020-06-19","0.142484545769954","0","0","0.0689381796873653","0.283780322814306","0.0672057011940437","0.105489571828377","0.258742923381045","0.174154436671351","0","0.246658395388475","0.0615201380019736","0","0.367424972841171","0","0.191880757621983","0.395720676603213","0"
"2020-06-20","0.142484545769954","0","0","0.0689381796873653","0.283780322814306","0.0672057011940437","0.105489571828377","0.258742923381045","0.174154436671351","0","0.246658395388475","0.0615201380019736","0","0.385569415944438","0","0.191880757621983","0.329767230502677","0"
"2020-06-21","0.142484545769954","0","0","0.0689381796873653","0.283780322814306","0.0896076015920582","0.105489571828377","0.258742923381045","0.174154436671351","0","0.246658395388475","0.0615201380019736","0","0.371961083616988","0","0.175890694486818","0.263813784402142","0"
"2020-06-22","0.142484545769954","0","0","0.0689381796873653","0.354725403517883","0.0896076015920582","0.105489571828377","0.258742923381045","0.174154436671351","0","0.246658395388475","0.0615201380019736","0","0.371961083616988","0","0.175890694486818","0.263813784402142","0"
"2020-06-23","0.142484545769954","0","0","0.0689381796873653","0.354725403517883","0.0896076015920582","0.105489571828377","0.258742923381045","0.174154436671351","0","0.205548662823729","0.123040276003947","0","0.376497194392805","0","0.159900631351653","0.263813784402142","0"
"2020-06-24","0.142484545769954","0","0","0.0689381796873653","0.283780322814306","0.112009501990073","0.105489571828377","0.258742923381045","0.174154436671351","0","0.184993796541356","0.123040276003947","0","0.376497194392805","0","0.143910568216488","0.263813784402142","0"
"2020-06-25","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.112009501990073","0.105489571828377","0.258742923381045","0.174154436671351","0","0.184993796541356","0.123040276003947","0","0.367424972841171","0","0.111930441946157","0.263813784402142","0"
"2020-06-26","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.112009501990073","0.105489571828377","0.258742923381045","0.174154436671351","0","0.205548662823729","0.123040276003947","0","0.371961083616988","0","0.111930441946157","0.197860338301606","0"
"2020-06-27","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.112009501990073","0","0.258742923381045","0.174154436671351","0","0.226103529106102","0.184560414005921","0","0.367424972841171","0","0.127920505081322","0.197860338301606","0"
"2020-06-28","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.134411402388087","0","0.258742923381045","0.174154436671351","0","0.246658395388475","0.246080552007894","0","0.349280529737903","0","0.127920505081322","0.197860338301606","0"
"2020-06-29","0.0712422728849772","0","0","0.0689381796873653","0.21283524211073","0.134411402388087","0","0.258742923381045","0.174154436671351","0","0.28776812795322","0.184560414005921","0","0.358352751289537","0","0.127920505081322","0.263813784402142","0"
"2020-06-30","0.0712422728849772","0","0","0","0.283780322814306","0.134411402388087","0","0.129371461690523","0.174154436671351","0","0.28776812795322","0.184560414005921","0","0.362888862065354","0","0.0959403788109917","0.263813784402142","0"
"2020-07-01","0.0712422728849772","0","0","0","0.21283524211073","0.156813302786102","0","0.129371461690523","0.174154436671351","0","0.28776812795322","0.184560414005921","0","0.371961083616988","0","0.127920505081322","0.263813784402142","0"
"2020-07-02","0.0712422728849772","0","0","0","0.21283524211073","0.134411402388087","0","0.129371461690523","0.174154436671351","0","0.328877860517966","0.184560414005921","0","0.381033305168622","0","0.111930441946157","0.263813784402142","0"
"2020-07-03","0.0712422728849772","0","0","0","0.21283524211073","0.134411402388087","0","0.129371461690523","0.348308873342703","0","0.308322994235593","0.246080552007894","0","0.376497194392805","0","0.111930441946157","0.197860338301606","0"
"2020-07-04","0.0712422728849772","0","0","0","0.21283524211073","0.134411402388087","0","0","0.348308873342703","0","0.349432726800339","0.246080552007894","0","0.362888862065354","0","0.111930441946157","0.263813784402142","0"
"2020-07-05","0.0712422728849772","0","0","0","0.21283524211073","0.134411402388087","0","0","0.348308873342703","0","0.308322994235593","0.307600690009868","0","0.362888862065354","0","0.143910568216488","0.263813784402142","0"
"2020-07-06","0.0712422728849772","0","0","0","0.21283524211073","0.134411402388087","0","0","0.348308873342703","0","0.246658395388475","0.307600690009868","0","0.362888862065354","0","0.159900631351653","0.263813784402142","0"
"2020-07-07","0","0","0","0","0.21283524211073","0.134411402388087","0","0","0.348308873342703","0","0.246658395388475","0.307600690009868","0","0.376497194392805","0","0.127920505081322","0.263813784402142","0"
"2020-07-08","0","0","0","0","0.21283524211073","0.156813302786102","0","0","0.348308873342703","0","0.28776812795322","0.307600690009868","0","0.390105526720255","0","0.127920505081322","0.197860338301606","0"
"2020-07-09","0","0","0","0","0.141890161407153","0.156813302786102","0","0","0.348308873342703","0","0.28776812795322","0.307600690009868","0","0.376497194392805","0","0.143910568216488","0.197860338301606","0"
"2020-07-10","0","0","0","0.0689381796873653","0.141890161407153","0.134411402388087","0","0","0.174154436671351","0","0.267213261670848","0.307600690009868","0","0.371961083616988","0","0.143910568216488","0.197860338301606","0"
"2020-07-11","0","0","0","0.0689381796873653","0.141890161407153","0.134411402388087","0","0","0.174154436671351","0","0.267213261670848","0.369120828011841","0","0.349280529737903","0","0.143910568216488","0.197860338301606","0"
"2020-07-12","0","0","0","0.0689381796873653","0.141890161407153","0.134411402388087","0","0","0.174154436671351","0","0.267213261670848","0.430640966013815","0","0.362888862065354","0","0.143910568216488","0.197860338301606","0"
"2020-07-13","0","0","0","0.0689381796873653","0.0709450807035766","0.134411402388087","0","0","0.174154436671351","0","0.246658395388475","0.430640966013815","0","0.376497194392805","0","0.159900631351653","0.197860338301606","0"
"2020-07-14","0","0","0","0.0689381796873653","0.0709450807035766","0.134411402388087","0","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.367424972841171","0","0.175890694486818","0.197860338301606","0"
"2020-07-15","0","0","0","0.0689381796873653","0.0709450807035766","0.134411402388087","0","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.371961083616988","0","0.175890694486818","0.197860338301606","0"
"2020-07-16","0","0","0","0.0689381796873653","0.0709450807035766","0.134411402388087","0","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.390105526720255","0","0.175890694486818","0.197860338301606","0"
"2020-07-17","0","0","0","0.0689381796873653","0.0709450807035766","0.156813302786102","0","0","0.174154436671351","0","0.226103529106102","0.430640966013815","0","0.394641637496072","0","0.175890694486818","0.263813784402142","0"
"2020-07-18","0","0","0","0.0689381796873653","0.0709450807035766","0.134411402388087","0","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.385569415944438","0","0.175890694486818","0.263813784402142","0"
"2020-07-19","0","0","0","0.0689381796873653","0.141890161407153","0.112009501990073","0","0","0.174154436671351","0","0.226103529106102","0.369120828011841","0","0.399177748271889","0","0.175890694486818","0.263813784402142","0"
"2020-07-20","0","0","0","0.137876359374731","0.283780322814306","0.134411402388087","0","0","0.174154436671351","0","0.184993796541356","0.430640966013815","0","0.399177748271889","0","0.175890694486818","0.197860338301606","0"
"2020-07-21","0","0","0","0.137876359374731","0.21283524211073","0.134411402388087","0","0","0.174154436671351","0","0.184993796541356","0.430640966013815","0","0.394641637496072","0","0.191880757621983","0.197860338301606","0"
"2020-07-22","0","0","0","0.137876359374731","0.21283524211073","0.112009501990073","0.105489571828377","0","0.174154436671351","0","0.205548662823729","0.492161104015788","0","0.417322191375157","0","0.159900631351653","0.197860338301606","0"
"2020-07-23","0","0","0","0.137876359374731","0.21283524211073","0.112009501990073","0.105489571828377","0","0.174154436671351","0","0.14388406397661","0.492161104015788","0","0.408249969823523","0","0.175890694486818","0.197860338301606","0"
"2020-07-24","0","0","0","0.137876359374731","0.283780322814306","0.112009501990073","0.210979143656754","0","0","0","0.14388406397661","0.430640966013815","0","0.399177748271889","0","0.191880757621983","0.131906892201071","0"
"2020-07-25","0","0","0","0.137876359374731","0.283780322814306","0.112009501990073","0.316468715485131","0","0","0","0.123329197694237","0.430640966013815","0","0.399177748271889","0","0.207870820757149","0.0659534461005355","0"
"2020-07-26","0","0","0","0.206814539062096","0.283780322814306","0.112009501990073","0.316468715485131","0","0","0","0.14388406397661","0.369120828011841","0","0.41278608059934","0","0.191880757621983","0.0659534461005355","0"
"2020-07-27","0","0","0","0.206814539062096","0.283780322814306","0.112009501990073","0.316468715485131","0","0","0","0.14388406397661","0.369120828011841","0","0.41278608059934","0","0.175890694486818","0.0659534461005355","0"
"2020-07-28","0","0","0","0.206814539062096","0.283780322814306","0.112009501990073","0.316468715485131","0","0","0","0.164438930258983","0.430640966013815","0","0.399177748271889","0","0.175890694486818","0.0659534461005355","0"
"2020-07-29","0","0","0","0.206814539062096","0.283780322814306","0.0896076015920582","0.316468715485131","0","0","0","0.14388406397661","0.430640966013815","0","0.381033305168622","0","0.207870820757149","0.0659534461005355","0"
"2020-07-30","0","0","0","0.206814539062096","0.283780322814306","0.0896076015920582","0.316468715485131","0","0.174154436671351","0","0.164438930258983","0.430640966013815","0","0.385569415944438","0","0.207870820757149","0.131906892201071","0"
"2020-07-31","0","0","0","0.137876359374731","0.283780322814306","0.0896076015920582","0.316468715485131","0","0.174154436671351","0","0.184993796541356","0.492161104015788","0","0.399177748271889","0","0.223860883892314","0.131906892201071","0.170579766510416"
"2020-08-01","0","0","0","0.206814539062096","0.283780322814306","0.112009501990073","0.421958287313508","0","0.174154436671351","0","0.184993796541356","0.430640966013815","0","0.426394412926791","0","0.239850947027479","0.131906892201071","0.170579766510416"
"2020-08-02","0","0","0","0.206814539062096","0.283780322814306","0.0896076015920582","0.421958287313508","0","0.174154436671351","0","0.226103529106102","0.369120828011841","0","0.449074966805875","0","0.239850947027479","0.131906892201071","0.170579766510416"
"2020-08-03","0","0","0","0.206814539062096","0.283780322814306","0.0896076015920582","0.421958287313508","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.426394412926791","0","0.239850947027479","0.131906892201071","0.170579766510416"
"2020-08-04","0","0","0","0.275752718749461","0.283780322814306","0.0896076015920582","0.421958287313508","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.426394412926791","0","0.239850947027479","0.197860338301606","0.170579766510416"
"2020-08-05","0","0","0","0.344690898436827","0.283780322814306","0.0896076015920582","0.527447859141885","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.449074966805875","0","0.255841010162644","0.197860338301606","0.170579766510416"
"2020-08-06","0","0","0","0.413629078124192","0.283780322814306","0.134411402388087","0.632937430970261","0","0.174154436671351","0","0.246658395388475","0.369120828011841","0","0.444538856030058","0","0.255841010162644","0.197860338301606","0.170579766510416"
"2020-08-07","0","0","0","0.413629078124192","0.283780322814306","0.112009501990073","0.632937430970261","0","0.174154436671351","0","0.246658395388475","0.307600690009868","0","0.435466634478425","0","0.27183107329781","0.131906892201071","0.170579766510416"
"2020-08-08","0.0712422728849772","0","0","0.413629078124192","0.283780322814306","0.134411402388087","0.632937430970261","0","0.174154436671351","0","0.246658395388475","0.307600690009868","0","0.435466634478425","0","0.287821136432975","0.197860338301606","0.170579766510416"
