dates,ACONCHI,AGUA_PRIETA,ALAMOS,ALTAR,ARIVECHI,ARIZPE,BACADEHUACHI,BACANORA,BACERAC,BACOACHI,BACUM,BANAMICHI,BAVIACORA,BAVISPE,BENJAMIN_HILL,CABORCA,CAJEME,CANANEA,CARBO,LA_COLORADA,CUCURPE,CUMPAS,DIVISADEROS,EMPALME,ETCHOJOA,FRONTERAS,GRANADOS,GUAYMAS,HERMOSILLO,HUACHINERA,HUASABAS,HUATABAMPO,HUEPAC,IMURIS,MAGDALENA,MAZATAN,MOCTEZUMA,NACO,NACORI_CHICO,NACOZARI_DE_GARCIA,NAVOJOA,NOGALES,ONAVAS,OPODEPE,OQUITOA,PITIQUITO,PUERTO_PENASCO,QUIRIEGO,RAYON,ROSARIO,SAHUARIPA,SAN_FELIPE_DE_JESUS,SAN_JAVIER,SAN_LUIS_RIO_COLORADO,SAN_MIGUEL_DE_HORCASITAS,SAN_PEDRO_DE_LA_CUEVA,SANTA_ANA,SANTA_CRUZ,SARIC,SOYOPA,SUAQUI_GRANDE,TEPACHE,TRINCHERAS,TUBUTAMA,URES,VILLA_HIDALGO,VILLA_PESQUEIRA,YECORA,GENERAL_PLUTARCO_ELIAS_CALLES,BENITO_JUAREZ,SAN_IGNACIO_RIO_MUERTO
2020-12-10,0,3.98858539380029,0.190659223330588,1.00335119298457,8.0915968766436,3.41600054656009,0,0,0,12.9136400322841,0.411377889672564,0,1.49229231021773,0,2.86401649673502,0.587744354715473,0.872775132541814,5.55239712675519,0,0,0,4.08466697710136,0,0.925882203710751,0.388352832529055,1.58010333875835,4.71942989286894,0.546427683483586,1.66823292376689,0,0,0.490399810705673,5.04973993839317,1.51943355517063,4.03441354756069,0,2.76159178150286,1.64943012189289,3.11032316257659,8.28503159911052,0.955932386033306,1.67253492630595,0,0,0,0.52202420104196,1.13941156229277,0,0,0,0.905821716169823,0,0,2.46444440775692,0.443834911166442,0,5.87780628513826,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
2020-12-11,0,3.78138615256391,0.190659223330588,1.00335119298457,8.0915968766436,3.41600054656009,0,0,0,12.9136400322841,0.411377889672564,0,1.49229231021773,0,2.86401649673502,0.534313049741339,0.883684821698586,5.67310141211943,0,0,0,4.90160037252163,0,1.01847042408183,0.388352832529055,1.58010333875835,4.71942989286894,0.607141870537317,1.70383545567655,0,0,0.490399810705673,5.04973993839317,1.51943355517063,4.4666721419422,0,2.76159178150286,2.47414518283933,3.11032316257659,7.9536303351461,1.01386768215654,1.78044040542247,0,0,0,0.52202420104196,1.21537233311229,0,0,0,0.905821716169823,0,0,2.39266447355041,0.443834911166442,0,6.17169659939517,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.79557041867161,0.878094184382217,0
2020-12-12,0,3.41878748040025,0.190659223330588,0.501675596492284,8.0915968766436,3.41600054656009,0,0,0,12.9136400322841,0.411377889672564,0,0,0,2.86401649673502,0.587744354715473,0.883684821698586,5.67310141211943,0,0,0,4.90160037252163,0,1.1110586444529,0.388352832529055,1.0534022258389,4.71942989286894,0.607141870537317,1.78521267147006,0,0,0.551699787043882,5.04973993839317,1.89929194396329,4.32258594381503,0,2.76159178150286,3.29886024378577,3.11032316257659,7.29082780721726,1.07180297827977,1.85237739150014,0,0,0,0.52202420104196,1.21537233311229,0,0,0,0.905821716169823,0,0,2.3448111840794,0.443834911166442,0,6.759477227909,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.44612411633766,0.658570638286663,0
2020-12-13,0,3.31518785978206,0.190659223330588,0.501675596492284,8.0915968766436,3.41600054656009,0,0,0,12.9136400322841,0.411377889672564,0,1.49229231021773,0,2.86401649673502,0.587744354715473,0.949142956639222,5.43169284139095,0,0,0,4.90160037252163,0,1.20364686482398,0.388352832529055,1.0534022258389,4.71942989286894,0.667856057591049,1.84624558331519,0,0,0.551699787043882,0,1.89929194396329,4.32258594381503,0,2.76159178150286,3.29886024378577,3.11032316257659,6.62802527928841,1.07180297827977,1.87036163801956,0,0,0,0.52202420104196,1.06345079147325,0,0,0,0.905821716169823,0,0,2.22517796040188,0.443834911166442,0,6.759477227909,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,2.44612411633766,0.658570638286663,0
2020-12-14,0,3.21158823916387,0,0,12.1373953149654,3.41600054656009,0,0,0,12.9136400322841,0.205688944836282,0,1.49229231021773,0,2.86401649673502,0.587744354715473,0.970962334952768,5.19028427066246,0,0,0,4.90160037252163,0,1.20364686482398,0.310682266023244,1.0534022258389,0,0.667856057591049,1.89202026719904,0,0,0.551699787043882,0,1.89929194396329,4.32258594381503,0,2.76159178150286,3.29886024378577,3.11032316257659,5.96522275135957,1.04283533021815,1.97826711713607,0,0,0,1.04404840208392,1.21537233311229,0,0,0,0.905821716169823,0,0,2.24910460513739,0.443834911166442,0,6.46558691365209,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,3.14501672100557,0.878094184382217,0
2020-12-15,0,3.21158823916387,0.190659223330588,0,12.1373953149654,3.41600054656009,0,0,0,12.9136400322841,0.205688944836282,0,1.49229231021773,0,2.86401649673502,0.641175659689607,1.01460109157986,4.82817141456973,0,0,0,4.90160037252163,0,1.20364686482398,0.466023399034866,2.10680445167781,0,0.667856057591049,1.96322533101835,0,0,0.551699787043882,0,1.89929194396329,4.32258594381503,0,2.76159178150286,2.47414518283933,3.11032316257659,5.96522275135957,1.07180297827977,2.03221985669433,0,0,0,1.04404840208392,1.29133310393181,0,0,0,0.905821716169823,0,0,2.22517796040188,0.443834911166442,0,6.46558691365209,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,3.84390932567347,0.658570638286663,0
2020-12-16,0,2.95258918761839,0.381318446661176,0,12.1373953149654,3.41600054656009,0,0,0,12.9136400322841,0,0,1.49229231021773,0,2.86401649673502,0.694606964663741,1.04733015905018,4.82817141456973,0,0,0,5.7185337679419,0,1.29623508519505,0.621364532046487,2.10680445167781,0,0.728570244644781,2.04460254681186,0,0,0.490399810705673,0,1.89929194396329,4.4666721419422,0,2.76159178150286,2.47414518283933,3.11032316257659,5.96522275135957,1.129738274403,2.14012533581084,0,0,0,1.04404840208392,1.29133310393181,0,0,0,0.905821716169823,0,0,2.22517796040188,0,0,6.17169659939517,0,0,0,0,0,0,0,1.11415647213495,3.33233363324336,0,0,3.84390932567347,0.658570638286663,0
2020-12-17,0,2.95258918761839,0.381318446661176,0,12.1373953149654,3.41600054656009,0,0,0,12.9136400322841,0,0,1.49229231021773,0,1.90934433115668,0.748038269637875,1.13460767230436,5.67310141211943,0,0,0,5.7185337679419,0,1.20364686482398,0.699035098552298,2.10680445167781,0,0.758927338171647,2.14123799056665,0,0,0.429099834367464,0,1.89929194396329,4.8989307363237,0,2.76159178150286,2.47414518283933,3.11032316257659,5.30242022343073,1.10077062634138,2.21206232188852,0,0,0,1.04404840208392,1.36729387475132,0,0,0,0.905821716169823,0,0,2.22517796040188,0,0,5.58391597088135,0,0,0,0,4.04236397445226,0,0,1.11415647213495,3.33233363324336,0,0,3.84390932567347,0.658570638286663,0
2020-12-18,0,2.84898956700021,0.571977669991763,0,12.1373953149654,3.41600054656009,0,0,0,9.68523002421307,0,0,1.49229231021773,0,1.90934433115668,0.801469574612009,1.14551736146113,5.55239712675519,0,0,0,4.90160037252163,0,1.20364686482398,0.776705665058109,2.10680445167781,0,0.849998618752244,2.15141014254084,0,0,0.490399810705673,0,1.89929194396329,4.61075834006936,0,2.76159178150286,2.47414518283933,3.11032316257659,5.30242022343073,1.10077062634138,2.28399930796619,0,0,0,1.04404840208392,1.44325464557084,0,0,0,0.905821716169823,12.9048909536714,0,2.24910460513739,0,0,5.29002565662443,0,0,0,0,4.04236397445226,0,0,1.11415647213495,3.33233363324336,0,0,3.84390932567347,0.658570638286663,0
2020-12-19,0,2.79718975669111,0.571977669991763,0,12.1373953149654,1.70800027328004,0,0,0,9.68523002421307,0,0,1.49229231021773,0,1.90934433115668,0.801469574612009,1.21097549640177,5.43169284139095,0,0,0,4.90160037252163,0,1.20364686482398,0.776705665058109,2.10680445167781,0,0.819641525225379,2.24295951030853,0,0,0.490399810705673,0,1.89929194396329,4.4666721419422,0,2.76159178150286,2.47414518283933,0,4.97101895946631,1.10077062634138,2.23004656840794,0,0,0,1.04404840208392,1.36729387475132,0,0,0,0.905821716169823,12.9048909536714,0,2.12947138145987,0,0,4.99613534236752,0,0,0,0,4.04236397445226,0,0,1.11415647213495,3.33233363324336,0,0,3.84390932567347,0.658570638286663,0
