"dates","AMEALCO_DE_BONFIL","PINAL_DE_AMOLES","ARROYO_SECO","CADEREYTA_DE_MONTES","COLON","CORREGIDORA","EZEQUIEL_MONTES","HUIMILPAN","JALPAN_DE_SERRA","LANDA_DE_MATAMOROS","EL_MARQUES","PEDRO_ESCOBEDO","PENAMILLER","QUERETARO","SAN_JOAQUIN","SAN_JUAN_DEL_RIO","TEQUISQUIAPAN","TOLIMAN"
"2020-07-05","0.213726818654932","0","0.362342471610467","0.206814539062096","0.354725403517883","0.358430406368233","0.421958287313508","0.258742923381045","0.174154436671351","0","0.369987593082712","0.676721518021709","0","0.948047152145737","0","0.463711830919793","0.197860338301606","0"
"2020-07-06","0.142484545769954","0","0.362342471610467","0.206814539062096","0.496615564925036","0.336028505970218","0.527447859141885","0.129371461690523","0.348308873342703","0","0.369987593082712","0.799761794025656","0","0.880005490508483","0","0.463711830919793","0.197860338301606","0"
"2020-07-07","0.142484545769954","0","0.362342471610467","0.275752718749461","0.496615564925036","0.358430406368233","0.527447859141885","0.129371461690523","0.348308873342703","0","0.390542459365085","0.86128193202763","0","0.893613822835934","0","0.511682020325289","0.263813784402142","0"
"2020-07-08","0.142484545769954","0","0.362342471610467","0.206814539062096","0.496615564925036","0.291224705174189","0.527447859141885","0.129371461690523","0.522463310014054","0","0.390542459365085","0.86128193202763","0","0.920830487490835","0","0.495691957190124","0.263813784402142","0"
"2020-07-09","0.142484545769954","0","0.362342471610467","0.275752718749461","0.567560645628612","0.291224705174189","0.527447859141885","0","0.522463310014054","0","0.390542459365085","0.86128193202763","0","0.929902709042469","0","0.511682020325289","0.263813784402142","0"
"2020-07-10","0.142484545769954","0","0.362342471610467","0.275752718749461","0.567560645628612","0.313626605572204","0.527447859141885","0","0.522463310014054","0","0.390542459365085","0.86128193202763","0","0.925366598266652","0","0.495691957190124","0.263813784402142","0.170579766510416"
"2020-07-11","0.142484545769954","0","0.362342471610467","0.275752718749461","0.638505726332189","0.313626605572204","0.527447859141885","0","0.522463310014054","0","0.390542459365085","0.86128193202763","0","0.952583262921554","0","0.511682020325289","0.263813784402142","0.170579766510416"
"2020-07-12","0.142484545769954","0","0.362342471610467","0.206814539062096","0.638505726332189","0.291224705174189","0.632937430970261","0","0.522463310014054","0","0.411097325647458","0.86128193202763","0","0.970727706024821","0","0.54366214659562","0.329767230502677","0.170579766510416"
"2020-07-13","0.142484545769954","0","0.362342471610467","0.206814539062096","0.567560645628612","0.313626605572204","0.527447859141885","0","0.522463310014054","0.253373670421664","0.411097325647458","0.799761794025656","0","0.984336038352272","0","0.559652209730785","0.329767230502677","0.170579766510416"
"2020-07-14","0.142484545769954","0","0.362342471610467","0.206814539062096","0.638505726332189","0.313626605572204","0.527447859141885","0","0.522463310014054","0.253373670421664","0.390542459365085","0.86128193202763","0","0.993408259903906","0","0.54366214659562","0.329767230502677","0.170579766510416"
"2020-07-15","0.142484545769954","0","0.362342471610467","0.275752718749461","0.567560645628612","0.336028505970218","0.527447859141885","0","0.522463310014054","0.253373670421664","0.411097325647458","0.86128193202763","0","1.05237769998953","0","0.591632336001115","0.395720676603213","0.170579766510416"
"2020-07-16","0.142484545769954","0","0","0.275752718749461","0.638505726332189","0.380832306766248","0.421958287313508","0","0.696617746685406","0.253373670421664","0.452207058212204","0.799761794025656","0","1.05691381076534","0","0.591632336001115","0.395720676603213","0.170579766510416"
"2020-07-17","0.142484545769954","0","0","0.344690898436827","0.709450807035766","0.448038007960291","0.421958287313508","0","0.696617746685406","0.253373670421664","0.493316790776949","0.676721518021709","0","1.06598603231698","0","0.655592588541777","0.395720676603213","0.170579766510416"
"2020-07-18","0.142484545769954","0","0","0.344690898436827","0.638505726332189","0.448038007960291","0.527447859141885","0","0.696617746685406","0.253373670421664","0.554981389624068","0.738241656023683","0","1.0977388077477","0","0.671582651676942","0.461674122703748","0.170579766510416"
"2020-07-19","0.0712422728849772","0","0","0.344690898436827","0.638505726332189","0.448038007960291","0.527447859141885","0","0.696617746685406","0.253373670421664","0.616645988471187","0.738241656023683","0","1.12041936162678","0","0.671582651676942","0.461674122703748","0.170579766510416"
"2020-07-20","0.0712422728849772","0","0","0.413629078124192","0.638505726332189","0.448038007960291","0.527447859141885","0","0.696617746685406","0.253373670421664","0.63720085475356","0.738241656023683","0","1.10227491852351","0","0.703562777947273","0.461674122703748","0.170579766510416"
"2020-07-21","0.0712422728849772","0","0","0.413629078124192","0.567560645628612","0.49284180875632","0.632937430970261","0","0.696617746685406","0.253373670421664","0.616645988471187","0.738241656023683","0","1.09320269697188","0","0.719552841082438","0.659534461005355","0.170579766510416"
"2020-07-22","0.0712422728849772","0","0","0.551505437498923","0.496615564925036","0.470439908358306","0.632937430970261","0","0.522463310014054","0.253373670421664","0.596091122188814","0.86128193202763","0","1.08866658619606","0","0.719552841082438","0.593581014904819","0.170579766510416"
"2020-07-23","0.0712422728849772","0","0","0.620443617186288","0.496615564925036","0.49284180875632","0.738427002798638","0","0.522463310014054","0.253373670421664","0.596091122188814","0.86128193202763","0","1.06598603231698","0.569673975583773","0.719552841082438","0.659534461005355","0.170579766510416"
"2020-07-24","0.0712422728849772","0","0","0.620443617186288","0.496615564925036","0.515243709154335","0.738427002798638","0","0.522463310014054","0.253373670421664","0.575536255906441","0.86128193202763","0","1.08866658619606","0.569673975583773","0.735542904217603","0.593581014904819","0.170579766510416"
"2020-07-25","0.0712422728849772","0","0","0.689381796873654","0.496615564925036","0.53764560955235","0.843916574627015","0","0.522463310014054","0.253373670421664","0.596091122188814","0.799761794025656","0","1.14309991550586","0.569673975583773","0.783513093623099","0.659534461005355","0.170579766510416"
"2020-07-26","0.0712422728849772","0","0","0.758319976561019","0.496615564925036","0.560047509950364","0.738427002798638","0","0.522463310014054","0.253373670421664","0.554981389624068","0.922802070029604","0","1.12041936162678","0.569673975583773","0.815493219893429","0.593581014904819","0.170579766510416"
"2020-07-27","0.0712422728849772","0","0","0.758319976561019","0.354725403517883","0.560047509950364","0.738427002798638","0","0.348308873342703","0.253373670421664","0.596091122188814","0.799761794025656","0","1.22474990947057","0.569673975583773","0.815493219893429","0.593581014904819","0.170579766510416"
"2020-07-28","0.0712422728849772","0","0","0.689381796873654","0.354725403517883","0.560047509950364","0.843916574627015","0","0.348308873342703","0.253373670421664","0.63720085475356","0.799761794025656","0","1.22021379869475","0.569673975583773","0.799503156758264","0.527627568804284","0.341159533020831"
"2020-07-29","0.0712422728849772","0","0","0.758319976561019","0.354725403517883","0.560047509950364","0.843916574627015","0","0.174154436671351","0.253373670421664","0.63720085475356","0.922802070029604","0","1.23835824179802","0.569673975583773","0.815493219893429","0.527627568804284","0.341159533020831"
"2020-07-30","0.0712422728849772","0","0","0.689381796873654","0.354725403517883","0.53764560955235","1.05489571828377","0","0.174154436671351","0.253373670421664","0.63720085475356","0.922802070029604","0","1.23835824179802","0.569673975583773","0.815493219893429","0.527627568804284","0.341159533020831"
"2020-07-31","0.0712422728849772","0","0","0.689381796873654","0.354725403517883","0.53764560955235","1.16038529011215","0","0.174154436671351","0.253373670421664","0.657755721035932","0.922802070029604","0","1.24289435257384","0.569673975583773","0.895443535569256","0.527627568804284","0.170579766510416"
"2020-08-01","0.0712422728849772","0","0","0.827258156248384","0.283780322814306","0.53764560955235","1.26587486194052","0","0.174154436671351","0.506747340843329","0.698865453600678","0.922802070029604","0","1.22021379869475","0.569673975583773","0.831483283028595","0.527627568804284","0.170579766510416"
"2020-08-02","0.142484545769954","0.174014425795898","0","0.827258156248384","0.283780322814306","0.560047509950364","1.47685400559728","0","0.174154436671351","0.506747340843329","0.719420319883051","1.04584234603355","0","1.20206935559148","0.569673975583773","0.783513093623099","0.527627568804284","0.170579766510416"
"2020-08-03","0.142484545769954","0.174014425795898","0","0.89619633593575","0.283780322814306","0.515243709154335","1.58234357742565","0","0.174154436671351","0.253373670421664","0.719420319883051","1.1688826220375","0","1.22928602024639","0.569673975583773","0.815493219893429","0.527627568804284","0.170579766510416"
"2020-08-04","0.142484545769954","0.174014425795898","0","0.965134515623115","0.283780322814306","0.53764560955235","1.68783314925403","0","0.174154436671351","0.253373670421664","0.739975186165424","1.10736248403552","0","1.26557490645292","0.569673975583773","0.799503156758264","0.527627568804284","0.170579766510416"
"2020-08-05","0.0712422728849772","0.348028851591797","0","0.89619633593575","0.283780322814306","0.515243709154335","1.68783314925403","0","0.348308873342703","0.253373670421664","0.719420319883051","1.10736248403552","0","1.25650268490129","0.569673975583773","0.767523030487933","0.461674122703748","0.170579766510416"
"2020-08-06","0.0712422728849772","0.348028851591797","0","0.89619633593575","0.283780322814306","0.53764560955235","1.68783314925403","0.129371461690523","0.174154436671351","0.253373670421664","0.739975186165424","1.1688826220375","0","1.2610387956771","0.569673975583773","0.767523030487933","0.527627568804284","0.170579766510416"
"2020-08-07","0.142484545769954","0.522043277387695","0","0.89619633593575","0.21283524211073","0.49284180875632","1.68783314925403","0.129371461690523","0.174154436671351","0.253373670421664","0.719420319883051","1.23040276003947","0.248780354312981","1.27464712800456","0.569673975583773","0.719552841082438","0.593581014904819","0.170579766510416"
"2020-08-08","0.142484545769954","0.522043277387695","0","0.89619633593575","0.21283524211073","0.49284180875632","1.68783314925403","0.129371461690523","0.174154436671351","0.253373670421664","0.657755721035932","1.1688826220375","0.248780354312981","1.27464712800456","0.569673975583773","0.719552841082438","0.527627568804284","0.170579766510416"
