"dates","AZCAPOTZALCO","COYOACAN","CUAJIMALPA_DE_MORELOS","GUSTAVO_A_MADERO","IZTACALCO","IZTAPALAPA","LA_MAGDALENA_CONTRERAS","MILPA_ALTA","ALVARO_OBREGON","TLAHUAC","TLALPAN","XOCHIMILCO","BENITO_JUAREZ","CUAUHTEMOC","MIGUEL_HIDALGO","VENUSTIANO_CARRANZA"
"2020-07-27","11.138894076389","11.6171048733174","12.7531879688656","8.32779668780149","8.21312228668386","6.4391924640382","17.0382583899961","17.2468371702088","9.98627702371559","12.6599594371501","11.7563112614032","13.0307359522743","6.58095845737069","8.3656356783981","10.5240542425381","10.7536298330161"
"2020-07-28","11.0617701807068","11.6016050669487","12.7531879688656","8.35214697051437","8.36608874761063","6.39249404971399","17.1921027095446","16.841396151741","10.2309157196483","12.6235453639848","11.9263967831249","12.7722750738821","6.61386324965754","8.40925213136159","10.650434806586","10.9575409775543"
"2020-07-29","10.9515931868751","11.58610526058","12.7313128608572","8.36838049232295","8.50728855769689","6.35876741714651","17.0574889299397","16.7790206104382","10.2246429325731","12.6720974615385","11.9332002039938","12.8907363098119","6.74548241880496","8.26095619128571","10.6389456643999","11.0541304670724"
"2020-07-30","11.0176993831741","11.7566031306354","12.6656875368322","8.4008475359401","8.5661218118995","6.37433355525458","17.0767194698832","16.5295184452273","10.1368239135203","12.9634100468613","11.919593362256","12.8045826836811","6.77838721109181","8.3743589689908","10.5929890956552","11.3868275976348"
"2020-07-31","10.7312391992116","11.283859036391","12.4031862407321","8.11676090428996","8.6249550661021","6.19532296701177","17.4036386489238","15.2196320778696","9.79182062438444","12.5992693152079","11.4297470596976","12.3091993334294","6.63579977784878","8.00798076409745","10.0989559816495","10.8931479845422"
"2020-08-01","10.8303984936601","11.6016050669487","12.6438124288239","8.33185506825364","8.94265463879618","6.35098434809247","17.8267105276822","15.250819848521","10.1493694876707","12.6963735103154","11.8651659953051","12.5353526020226","6.78935547518743","8.3481890972127","10.3287388253731","11.6443995696831"
"2020-08-02","10.9626108862582","11.493106422368","13.1250648050075","8.26692098101932","8.94265463879618","6.24980445039002","17.6728662081337","14.7206277474477","10.1807334230467","12.4293369737696","11.8787728370428","12.2876609268967","6.81129200337866","8.3656356783981","10.1449125503943","11.6658639006871"
"2020-08-03","11.2160179720712","11.376857874603","12.9719390489491","8.24257069830645","8.80145482870992","6.14862455268756","17.7497883679079","14.4087500409339","9.98627702371559","12.4171989493812","11.6814736318457","11.9538156256401","6.91000638023922","8.30457264424921","9.85768399573982","11.547810080165"
"2020-08-04","11.4143365609684","11.283859036391","13.3438158850909","8.19387013288071","8.7896881778694","6.07079386214722","18.2497824064405","14.0344967931175","10.0364593203172","12.2715426567198","11.6474565275013","11.8999696093084","6.87710158795237","8.25223290069301","9.62790115201629","11.2795059426147"
"2020-08-05","10.9405754874919","11.0901114567826","13.7156927212328","8.06400195841207","8.60142176442106","5.99296317160687","18.3651656461019","13.1924269855304","9.91100357881321","11.9802300713971","11.2052341710249","11.415355462323","6.75645068290057","7.87713140520697","9.61641200983011","11.2687737771127"
"2020-08-06","10.7092038004452","10.9351133930959","14.2188202054248","8.08835224112494","8.51905520853741","5.89178327390441","18.1536297067227","12.9741125909708","9.79809341145964","12.0409201933393","11.0963794371231","11.3399710394586","6.91000638023922","7.6241559780187","9.673857720761","11.3438989356268"
"2020-08-07","10.8414161930433","10.8808640708056","14.6344472575833","8.16546146971569","8.7308549236668","5.75947109998582","17.8459410676257","12.319169407292","9.62872816042929","11.8831258762895","11.0555589119099","11.3184326329259","6.80032373928305","7.31011751668155","9.4210965926651","11.3546311011288"
"2020-08-08","10.8634515918097","10.8343646516996","14.6563223655917","8.14922794790711","8.64848836778314","5.7413106055264","17.7497883679079","12.4439204898975","9.51581799307572","11.6039513153552","10.8718665484504","11.0276641447346","6.78935547518743","7.26650106371805","9.38662916610657","11.3117024391207"
"2020-08-09","10.8524338924265","10.5708679434322","14.7875730136418","8.08835224112494","8.70732162198575","5.69201783485085","17.5382524285287","12.2256060953379","9.47190848354933","11.5189851446361","10.8514562858438","10.5753576075483","6.88806985204799","7.21416132016186","9.23727031768627","11.2043807841006"
"2020-08-10","10.5439383096976","10.6716166848286","14.1969450974164","8.00718463208204","8.64848836778314","5.68682912214816","17.9036326874564","11.6954139942646","9.45936290939894","11.3126387300325","10.8038323397617","10.4999731846839","6.89903811614361","7.24905448253266","8.51345435995712","11.0112018050644"
"2020-08-11","10.4227436164827","10.7336159103032","13.4969416411494","8.0031262516299","8.84852143207201","5.70239526025623","18.0767075469485","11.5394751410077","9.2523609359174","11.3490528031978","10.7426015519419","10.4138195585531","7.17324471853405","7.06586538008598","8.46749779121241","10.9038801500443"
"2020-08-12","10.2684958251183","10.6483669752756","13.8906935852996","8.1573447088114","9.01325454383931","5.6141871443105","18.1920907866099","11.1028463518885","9.28999765836858","11.2276725593134","10.7698152354174","10.2738199160907","7.49132437730697","7.03097221771519","8.39856293809535","10.9790053085583"
"2020-08-13","10.0371241380716","10.4391195892985","13.8031931532662","8.22633717649787","9.15445435392556","5.56489437363495","18.230551866497","10.978095269283","9.30881601959418","10.8878078764369","10.6813707641221","10.284589119357","7.51326090549821","6.9262927306028","8.21473666311652","10.9146123155463"
"2020-08-14","10.191371929436","10.4856190084045","13.7594429372495","8.35620535096651","9.20152095728765","5.53635645377015","18.1536297067227","10.8221564160262","9.36527110327097","11.0941542910405","10.8174391814995","10.1553586801609","7.65584833874124","6.80416666230502","8.15729095218564","10.8502193225342"
"2020-08-15","10.2684958251183","10.5476182338792","13.1688150210242","8.33591344870578","9.18975430644712","5.59602664985109","17.8074799877386","11.227597434494","9.56600028967731","11.1548444129827","10.7221912893353","9.87535939523601","7.91908667703606","7.00480234593709","8.20324752093035","11.0648626325744"
"2020-08-16","10.2464604263519","10.4701192020359","13.1906901290325","8.37649725322724","9.38978737073599","5.5104128902567","17.6344051282465","11.2587852051454","9.55972750260211","11.1062923154289","10.7698152354174","9.86459019196966","7.97392799751415","7.12692841423487","8.32962808497829","10.9575409775543"
"2020-08-17","10.3896905183332","10.2376221065058","13.475066533141","8.39273077503582","9.40155402157651","5.45593140687846","17.788249447795","11.477099599705","9.71654717948207","10.8878078764369","10.7630118145485","10.0584358507638","7.93005494113168","7.22288461075456","8.06537781469622","10.8716836535382"
"2020-08-18","10.3896905183332","10.3383708479022","13.6063171811911","8.55100761266947","9.43685397409807","5.60380971890512","17.8651716075693","11.8201650768701","9.66636488288048","10.8999459008253","10.8514562858438","10.2092046964926","8.03973758208786","7.30139422608885","8.15729095218564","11.0326661360684"
"2020-08-19","10.5880091072303","10.3306209447178","13.7375678292412","8.59970817809521","9.48392057746016","5.6427250641753","17.9805548472307","11.8825406181728","9.64127373457969","11.0334641690982","10.7766186562863","9.92920541156772","8.01780105389662","7.51947649090632","8.375584653723","11.0112018050644"
