"dates","Algarrobo","Cabildo","Calera","Calle_Larga","Cartagena","Casablanca","Catemu","Concon","El_Quisco","El_Tabo","Hijuelas","Isla_de_Pascua","Juan_Fernandez","La_Cruz","La_Ligua","Limache","Llaillay","Los_Andes","Nogales","Olmue","Panquehue","Papudo","Petorca","Puchuncavi","Putaendo","Quillota","Quilpue","Quintero","Rinconada","San_Antonio","San_Esteban","San_Felipe","Santa_Maria","Santo_Domingo","Valparaiso","Villa_Alemana","Vina_del_Mar","Zapallar"
"20-09-06","8.78696015113571","14.0577936638528","25.4129380288623","6.35614032046504","5.25824558636011","10.6110322085639","26.9193327761657","8.71668591601473","11.809480865957","3.98541338700357","13.7130091577968","0","0","12.600119230979","24.7312682724326","16.8804378613916","12.5629718966319","5.31485999889507","24.7319021265381","18.0431354520423","4.36700292589196","14.5905806283165","16.236841393121","5.69407175953935","3.50834581494825","18.0086793049528","9.06296624045075","8.03863817562448","1.26837559138012","10.580807596134","5.0749360442719","5.01889499901333","8.72836456633121","10.7735401853049","16.424417815471","12.2371825767131","14.7717864413449","11.3180123187629"
"20-09-07","8.78696015113571","14.2882492976865","25.9460765889084","5.20047844401685","5.44604007158726","9.46830566302627","26.9193327761657","8.40537570472849","12.8830700355895","5.31388451600476","13.2143542793315","0","0","12.600119230979","24.4789083921016","16.9758075668232","12.9219139508213","6.01418368296021","24.1237405988364","17.054470495766","4.36700292589196","14.5905806283165","15.7858180210899","5.69407175953935","4.04809132494029","17.7158552512138","9.11996602812654","8.302200083022","1.26837559138012","10.285529244614","4.84425713316863","4.84779630586515","8.43741908078683","10.3745201784417","16.6506494658218","12.2713646509497","14.5345945091913","10.7223274598806"
"20-09-08","8.78696015113571","14.5187049315201","25.9460765889084","5.20047844401685","5.63383455681441","8.9785657149387","26.2933017813712","8.197835563871","13.4198646204057","6.31023786275565","12.9650268400988","0","0","12.4120577499196","23.7218287511088","16.6896984505284","13.2808560050108","6.36384552499278","23.5155790711346","16.3129717785588","4.36700292589196","13.8226553320893","14.8837712770276","5.69407175953935","4.58783683493233","17.2766191706052","9.17696581580234","8.17041912932324","1.26837559138012","10.137890068854","5.0749360442719","4.90482920358121","8.14647359524246","9.57648016471546","16.9372095562662","12.3055467251864","14.3896438839863","10.7223274598806"
"20-09-09","8.47314014573801","14.2882492976865","25.7683637355597","4.9115629749048","5.82162904204155","8.65207241621366","25.3542552891794","7.9902954230135","13.9566592052219","7.30659120950654","12.9650268400988","0","0","12.4120577499196","22.712389229785","16.308219628802","13.6397980592003","6.57364263021232","23.1101380526668","16.0658055394898","4.36700292589196","13.0547300358621","14.4327479049964","5.69407175953935","5.12758234492437","16.78857908104","9.23396560347813","8.03863817562448","0.845583727586746","10.0886770102673","5.0749360442719","5.13296079444545","8.43741908078683","8.77844015098917","17.2539338667574","12.3739108736596","14.2842252474735","11.3180123187629"
"20-09-10","8.78696015113571","14.0577936638528","25.590650882211","5.20047844401685","5.63383455681441","8.48882576685114","24.4152087969875","7.9902954230135","14.2250564976301","8.30294455625743","12.7156994008662","0.575317719210434","0","12.2239962688602","21.7029497084612","15.8313711016441","13.8192690862951","6.71350736702535","22.7046970341989","15.5714730613516","4.36700292589196","12.2868047396349","13.9817245329653","5.93132474952016","5.39745509992039","16.2029309735619","9.31946528499181","7.77507626822695","0.422791863793373","10.0394639516807","5.0749360442719","5.41812528302575","8.43741908078683","7.98040013726288","17.5404939572018","12.5106391706061","14.2315159292172","11.9136971776451"
"20-09-11","8.47314014573801","14.0577936638528","25.324081602188","5.20047844401685","5.82162904204155","8.48882576685114","23.789177802193","8.09406549344225","14.7618510824463","9.29929790300832","12.7156994008662","0.575317719210434","0","12.2239962688602","20.8196901273029","15.3545225744861","14.1782111404845","6.92330447224489","22.2992560157311","14.8299743441444","4.36700292589196","11.5188794434077","13.079677788903","5.93132474952016","5.66732785491641","15.7148908839968","9.51896454185708","7.64329531452819","0.422791863793373","9.99025089309398","5.30561495537517","5.70328977160606","8.43741908078683","7.58138013039974","17.6762329474123","12.5790033190794","14.2315159292172","11.9136971776451"
"20-09-12","8.78696015113571","13.8273380300192","25.324081602188","5.20047844401685","5.82162904204155","8.65207241621366","24.4152087969875","8.61291584558598","15.2986456672625","9.96353346750892","13.2143542793315","1.15063543842087","0","12.600119230979","20.4411503068065","14.7823043418966","14.537153194674","7.27296631427746","22.2992560157311","13.3469769097299","4.36700292589196","11.5188794434077","11.7266076728096","5.93132474952016","5.39745509992039","15.2268507944317","9.86096326791183","7.77507626822695","0.422791863793373","9.89182477592064","5.30561495537517","5.98845426018636","8.43741908078683","7.98040013726288","17.5706581772486","12.6815495417893","14.3764665544222","11.9136971776451"
"20-09-13","8.78696015113571","13.8273380300192","25.324081602188","5.20047844401685","5.82162904204155","8.9785657149387","25.3542552891794","9.13176619772972","16.1038375444869","9.96353346750892","13.9623365970295","1.15063543842087","0","13.1643036741572","20.1887904264756","14.210086109307","14.8960952488635","7.62262815631003","22.0965355064972","11.3696469971774","4.36700292589196","13.8226553320893","10.8245609287473","6.16857773950096","5.39745509992039","14.69000669591","10.2884616754803","8.03863817562448","0.422791863793373","9.7933986587473","4.61357822206536","6.27361874876666","8.43741908078683","8.77844015098917","17.3293444168743","12.7499136902626","14.6004811570117","12.5093820365274"
"20-09-14","8.78696015113571","13.8273380300192","25.1463687488393","5.20047844401685","5.63383455681441","9.30505901366374","25.6672707865766","9.65061654987345","16.6406321293031","10.2956512497592","13.9623365970295","1.15063543842087","0","13.5404266362759","19.9364305461446","13.7332375821491","14.8960952488635","7.83242526152957","21.8938149972633","9.88664956276292","3.74314536505025","14.5905806283165","9.92251418468505","6.40583072948177","5.66732785491641","14.2507706153014","10.6874601892108","8.17041912932324","0.422791863793373","9.64575948298729","4.15222039985882","6.61581613506303","8.14647359524246","9.57648016471546","17.1332769865703","12.8524599129724","14.7454317822167","12.5093820365274"
"20-09-15","8.15932014034031","14.0577936638528","24.5243737621189","5.4893939131289","5.44604007158726","9.30505901366374","24.7282242943848","9.65061654987345","17.1774267141193","10.6277690320095","13.4636817185642","1.15063543842087","0","13.3523651552165","19.5578907256482","13.3517587604227","14.3576821675793","7.9722899983426","21.0829329603276","8.65081836741756","3.74314536505025","15.3585059245437","9.47149081265391","6.40583072948177","6.47694611990446","13.8115345346928","11.0009590214276","8.03863817562448","0.422791863793373","9.59654642440062","4.15222039985882","6.95801352135939","7.56458262415371","9.57648016471546","17.0729485464767","13.0233702841556","14.784963770909","13.7007517542919"
