dates,Alto_Biobio,Antuco,Arauco,Cabrero,Canete,Chiguayante,Concepcion,Contulmo,Coronel,Curanilahue,Florida,Hualpen,Hualqui,Laja,Lebu,Los_Alamos,Los_Angeles,Lota,Mulchen,Nacimiento,Negrete,Penco,Quilaco,Quilleco,San_Pedro_de_la_Paz,San_Rosendo,Santa_Barbara,Santa_Juana,Talcahuano,Tirua,Tome,Tucapel,Yumbel
2020-07-25,6.32577754348972,9.95288965563002,8.37171394838346,0.154984695261343,6.56317441442972,10.0794869384472,8.66011777760178,2.25682690137666,13.094112228652,16.7197765451041,7.23877085670853,11.3083795092163,8.72376735893396,6.58245118514041,1.75716042874714,9.30224691545949,6.49405129646761,11.8657298985168,8.89760240296628,5.28267419192126,10.9584537621742,10.7910405714477,5.6974213470983,13.290802764487,8.42029408366639,9.23105326317733,11.0954469507101,6.44415016158707,13.3223266255569,0,4.94604353004803,8.14268489375362,16.9975816099077
2020-07-26,6.32577754348972,12.1646429124367,8.74105426963567,0.154984695261343,7.72138166403496,10.236162901221,8.48011532956848,3.00910253516889,12.753513933687,17.4222881646462,8.84738660264376,11.0636093899692,8.54202220562283,7.180855838335,2.10859251449657,9.30224691545949,6.36329858580047,11.5534738485558,8.59078852700192,4.7714476572192,10.9584537621742,10.6955446371871,5.6974213470983,13.290802764487,8.35502048611859,7.91233136843771,12.0744569757728,6.12194265350771,13.7734212065577,0.432153985107974,5.02712621086849,7.82950470553233,15.7066260445982
2020-07-27,6.32577754348972,14.3763961692434,9.23350803130529,0.154984695261343,8.75089921923962,10.3406135430702,8.34011342554259,3.00910253516889,12.5264484037104,17.5627904885547,9.65169447561137,10.916747318421,8.72376735893396,7.77926049152958,2.28430855737129,9.51366161808357,6.29792223046691,11.4493884985688,7.97716077507321,4.43062996741783,10.9584537621742,10.9820324399689,5.6974213470983,12.8161312371839,8.25711008979689,7.91233136843771,13.0534670008354,5.79973514542836,13.9839320110248,0.432153985107974,5.10820889168894,7.51632451731103,14.4156704792888
2020-07-28,6.32577754348972,15.4822727976467,9.7259617929749,0.154984695261343,9.26565799684195,10.3928388639948,8.26011233752779,2.25682690137666,12.2615386187377,16.8602788690125,9.65169447561137,10.8188392707221,9.0872576655562,7.97872870926111,2.10859251449657,9.51366161808357,6.29792223046691,11.5534738485558,7.51693996112668,3.91940343271577,10.9584537621742,11.5550080455325,5.6974213470983,11.3921166552745,8.12656289470129,6.59360947369809,13.3798036758563,5.477527637349,14.0440779551582,0.432153985107974,5.43253961497078,6.88996414086845,12.9095556530944
2020-07-29,6.32577754348972,16.58814942605,10.4646424354793,0.154984695261343,9.6517270800437,10.4450641849194,8.24011206552409,2.25682690137666,12.0344730887611,16.0172649255619,9.24954053912757,10.6719771991739,9.45074797217845,8.37766514472417,2.10859251449657,9.09083221283541,6.31971434891143,11.6575591985428,6.7499052712158,3.5785857429144,10.5018515220836,12.2234795853567,5.6974213470983,9.96810207336523,8.02865249837958,6.59360947369809,13.7061403508772,5.15532012926965,14.0140049830915,0.432153985107974,5.75687033825262,6.26360376442586,11.618600087785
2020-07-30,7.02864171498858,16.58814942605,11.3264365184012,0.154984695261343,9.90910646884487,10.4450641849194,8.22011179352039,2.25682690137666,11.8830960687766,14.8932463342944,9.24954053912757,10.5251151276256,9.99598343211182,8.57713336245569,1.93287647162186,9.09083221283541,6.36329858580047,11.8657298985168,6.13627751928709,3.23776805311303,10.5018515220836,12.8919511251808,6.83690561651796,8.54408749145591,7.96337890083178,7.91233136843771,14.0324770258981,5.15532012926965,13.8937130948246,0.432153985107974,6.24336642317538,5.63724338798328,10.3276445224755
2020-07-31,7.02864171498858,16.58814942605,12.0651171609056,0.154984695261343,10.166485857646,10.3406135430702,8.24011206552409,2.25682690137666,11.8074075587844,13.9097300669353,9.24954053912757,10.2803450083785,10.1777285854229,8.57713336245569,1.93287647162186,8.87941751021133,6.36329858580047,11.8657298985168,5.67605670534056,2.72654151841097,10.045249281993,13.3694307964838,7.97638988593762,8.0694159641528,7.93074210205788,7.91233136843771,14.0324770258981,4.8331126211903,13.8335671506912,0.432153985107974,6.81094518891859,5.32406319976198,9.03668895716609
2020-08-01,6.32577754348972,15.4822727976467,12.80379780341,0.154984695261343,10.2951755520466,10.0794869384472,8.30011288153519,2.25682690137666,11.8830960687766,12.9262137995762,9.24954053912757,9.83975879373369,10.3594737387341,8.17819692699264,1.93287647162186,8.66800280758725,6.34150646735595,11.7616445485298,5.3692428293762,2.3857238286096,9.1320448018118,13.4649267307444,7.97638988593762,9.01875901875902,7.99601569960568,7.91233136843771,13.7061403508772,4.8331126211903,13.6832022903576,0.432153985107974,7.62177199712319,5.63724338798328,7.74573339185665
2020-08-02,5.62291337199086,13.27051954084,13.419365005497,0,10.5525549408478,9.71390969197506,8.42011451355738,2.25682690137666,12.0723173437572,12.0831998561256,9.24954053912757,9.30126453139005,10.3594737387341,7.77926049152958,1.93287647162186,8.66800280758725,6.27613011202238,11.7616445485298,4.75561507744749,2.21531498370891,7.30563584144944,13.4649267307444,9.11587415535728,10.9174451279714,8.12656289470129,7.91233136843771,13.7061403508772,5.477527637349,13.5027644579572,0.864307970215947,8.67584684778916,5.63724338798328,6.45477782654721
2020-08-03,4.21718502899315,11.0587662840334,14.1580456480014,0,10.6812446352484,9.45278308735207,8.52011587357588,2.25682690137666,12.2993828737338,11.3806882365834,9.65169447561137,9.00754038829353,10.7229640453563,7.38032405606653,2.10859251449657,8.66800280758725,6.14537740135525,11.7616445485298,4.44880120148314,2.04490613880823,5.93582912117767,13.560422665005,9.11587415535728,11.8667881825777,8.25711008979689,6.59360947369809,13.3798036758563,5.477527637349,13.5027644579572,0.864307970215947,9.64883901763467,5.63724338798328,5.59414078300758
2020-08-04,3.51432085749429,9.95288965563002,14.7736128500885,0,10.9386240240495,9.50500840827667,8.62011723359438,2.25682690137666,12.5642926587065,10.8186789409497,10.0538484120952,9.10544843599237,11.2681995052897,7.38032405606653,2.28430855737129,8.87941751021133,5.94924833535455,11.9698152485038,3.98858038753661,1.87449729390754,5.02262464099649,14.037902336308,10.2553584247769,11.8667881825777,8.28974688857079,5.27488757895847,12.7271303258145,5.477527637349,13.7734212065577,0.864307970215947,10.4596658258393,5.32406319976198,5.37898152212268
2020-08-05,3.51432085749429,8.84701302722668,15.2660666117581,0,11.0673137184501,9.71390969197506,8.74011886561657,2.25682690137666,12.8292024436792,10.2566696453159,10.456002348579,9.3991725790889,11.9951801185342,7.38032405606653,2.460024600246,8.87941751021133,5.64415867713124,12.4902419984387,3.22154569762572,2.21531498370891,5.02262464099649,14.8973657446534,9.11587415535728,11.3921166552745,8.28974688857079,5.27488757895847,12.4007936507937,5.79973514542836,14.1944428154918,1.29646195532392,11.2704926340439,5.01088301154069,5.80930004389249
2020-08-06,3.51432085749429,8.84701302722668,15.6354069330103,0.154984695261343,11.3246931072513,9.92281097567344,8.84012022563507,2.25682690137666,13.1698007386442,9.83516267359062,11.2603102215466,9.88871281758311,12.9039058850898,7.38032405606653,2.63574064312072,8.87941751021133,5.36086113735245,12.8024980483997,2.76132488367919,2.21531498370891,5.02262464099649,15.6613332187382,9.11587415535728,11.3921166552745,8.28974688857079,2.63744378947924,11.7481203007519,5.477527637349,14.6756103685593,1.72861594043189,12.000236761428,4.3845226350981,6.45477782654721
2020-08-07,3.51432085749429,8.84701302722668,16.0047472542625,0.154984695261343,11.3246931072513,10.1317122593718,8.92012131364987,2.25682690137666,13.5482432886052,9.55415802577375,11.6624641580304,10.3782530560773,13.6308864983343,7.38032405606653,2.81145668599543,9.30224691545949,5.07756359757367,13.1147540983607,2.30110406973266,2.3857238286096,5.02262464099649,16.5207966270836,10.2553584247769,11.3921166552745,8.28974688857079,2.63744378947924,11.7481203007519,5.15532012926965,15.0966319774934,1.72861594043189,12.8110635696326,4.07134244687681,6.88509634831702
2020-08-08,3.51432085749429,8.84701302722668,16.2509741350973,0.154984695261343,10.8099343296489,10.236162901221,8.94012158565356,1.50455126758444,14.0780628585507,9.55415802577375,12.0646180945142,10.9657013422704,14.7213574182011,7.180855838335,2.98717272887015,9.51366161808357,4.79426605779488,13.2188394483476,2.30110406973266,2.55613267351029,4.5660224009059,17.2847641011684,10.2553584247769,11.8667881825777,8.28974688857079,2.63744378947924,12.4007936507937,4.51090511311094,15.5176535864275,1.72861594043189,13.7840557394781,3.75816225865552,7.10025560920193
2020-08-09,3.51432085749429,9.95288965563002,16.4972010159321,0.154984695261343,10.166485857646,10.3928388639948,8.94012158565356,2.25682690137666,14.6457266834922,9.55415802577375,12.0646180945142,11.6021036523129,16.17531864469,6.78191940287194,2.98717272887015,9.93649102333173,4.53276063646061,13.4270101483216,2.45451100771483,2.72654151841097,4.5660224009059,18.1442275095138,11.3948426941966,12.8161312371839,8.28974688857079,2.63744378947924,13.3798036758563,3.86649009695224,15.9086022232948,1.72861594043189,14.7570479093236,3.44498207043422,6.88509634831702
2020-08-10,4.21718502899315,9.95288965563002,16.6203144563495,0.154984695261343,9.6517270800437,10.6539654686178,9.04012294567206,2.25682690137666,15.1377019984416,9.55415802577375,12.0646180945142,12.2385059623553,17.0840444112457,6.58245118514041,2.98717272887015,10.3593204285799,4.35842368890443,13.5310954983086,2.60791794569701,2.89695036331166,4.5660224009059,19.290178720641,11.3948426941966,13.290802764487,8.35502048611859,2.63744378947924,14.0324770258981,3.22207508079353,16.1792589718953,2.16076992553987,15.6489573983487,3.44498207043422,7.10025560920193
2020-08-11,3.51432085749429,9.95288965563002,16.7434278967669,0.154984695261343,9.52303738564312,11.0717680360146,9.28012620971645,2.25682690137666,15.3647675284182,9.55415802577375,11.6624641580304,12.7280462008495,17.8110250244902,6.38298296740889,2.98717272887015,10.570735131204,4.31483945201539,13.6351808482956,2.60791794569701,2.89695036331166,5.02262464099649,20.8181136688106,12.5343269636163,13.290802764487,8.42029408366639,2.63744378947924,14.0324770258981,3.22207508079353,16.209331943962,2.59292391064784,16.3787015257328,3.44498207043422,7.31541487008684
